"Title","Work Item Type","Priority","Severity","State","Description","Acceptance Criteria","Tags"
"P0-001: Foundry / AI Services account is single-region","Bug","1","1 - Critical","New","Finding: P0-001: Foundry / AI Services account is single-region

Priority: P0

Resiliency Related: Yes

Issue: The AI Foundry / AI Services account is provisioned only in `{primaryRegion}` with no twin in `{secondaryRegion}`. During a regional failure or GLB-driven cutover, replicas in the secondary region have no Foundry control plane to call: every agent invocation, model call, and Bing-grounding tool fails with DNS or 5xx errors. The active/active deployment delivers zero AI continuity because the upstream dependency is gone.

File: infra/main.bicep:856-870

```bicep
// before — single Foundry account in one region; backend env points to the single endpoint
module aiFoundry 'modules/ai-services.bicep' = {
 name: 'foundry-${location}'
 params: {
 name: 'aif-${solutionPrefix}-${location}'
 location: location
 userAssignedIdentityResourceId: uami.outputs.resourceId
 }
}
// Container App env: AZURE_AI_PROJECT_ENDPOINT = aiFoundry.outputs.endpoint
```

Recommended Fix: Provision a peer `Microsoft.CognitiveServices/accounts` (kind `AIServices`) in `{secondaryRegion}` with the same UAMI and connection name; replace the single `AZURE_AI_PROJECT_ENDPOINT` env var with `_PRIMARY` / `_SECONDARY` plus an `APP_REGION` per regional Container App revision; add a `resolve_foundry_endpoint()` method that prefers the local-region endpoint and falls back to the peer; surface Foundry health in `/healthz/ready`.","Provision a peer `Microsoft.CognitiveServices/accounts` (kind `AIServices`) in `{secondaryRegion}` with the same UAMI and connection name; replace the single `AZURE_AI_PROJECT_ENDPOINT` env var with `_PRIMARY` / `_SECONDARY` plus an `APP_REGION` per regional Container App revision; add a `resolve_foundry_endpoint()` method that prefers the local-region endpoint and falls back to the peer; surface Foundry health in `/healthz/ready`.","resiliency;P0-001"
"P0-002: Foundry Project + Agent Service single-instance","Bug","1","1 - Critical","New","Finding: P0-002: Foundry Project + Agent Service single-instance

Priority: P0

Resiliency Related: Yes

Issue: The Foundry Project and Agent Service exist only inside the primary-region Foundry account; agent definitions, thread metadata, and the Bing-grounding connection live there. During regional failover the GLB cannot land any plan-execution traffic in `{secondaryRegion}` — even with a healthy peer Foundry account (P0-001), there is no Project or agent metadata for it to use.

File: infra/main.bicep:937-960

```bicep
// before — single Project under the single Foundry account; one connection scope only
module aiFoundryProject 'modules/ai-project.bicep' = {
 name: 'aif-project-${location}'
 params: {
 parentName: aiFoundry.outputs.name
 location: location
 projectName: aiProjectName
 connections: [ { name: 'binggrnd', target: bingConnectionTarget } ]
 }
}
```

Recommended Fix: Promote agent definitions to a versioned JSON catalog under `data/agent_teams/`; provision a peer `Microsoft.CognitiveServices/accounts/projects` under the secondary Foundry account with identical project name and connection name; add a post-deploy `deploymentScript` (or `azd hook`) that idempotently POSTs the catalog into both Projects via the Foundry SDK; ensure `AGENT_PROJECT_NAME` is identical in both regions and resolves through the regional Foundry endpoint from P0-001.","Promote agent definitions to a versioned JSON catalog under `data/agent_teams/`; provision a peer `Microsoft.CognitiveServices/accounts/projects` under the secondary Foundry account with identical project name and connection name; add a post-deploy `deploymentScript` (or `azd hook`) that idempotently POSTs the catalog into both Projects via the Foundry SDK; ensure `AGENT_PROJECT_NAME` is identical in both regions and resolves through the regional Foundry endpoint from P0-001.","resiliency;P0-002"
"P0-003: Cosmos DB NoSQL is serverless single-region","Bug","1","1 - Critical","New","Finding: P0-003: Cosmos DB NoSQL is serverless single-region

Priority: P0

Resiliency Related: Yes

Issue: Cosmos is provisioned with `EnableServerless` and a single `locations[]` entry, with `enableAutomaticFailover=false` and `enableMultipleWriteLocations=false`. During zone loss in `{primaryRegion}` or a regional outage, every read/write fails: backend replicas in `{secondaryRegion}` cannot fetch plans, persist approvals, or write checkpoints. Active/active for the data plane is not possible without migration.

File: infra/main.bicep:1043-1130

```bicep
// before — serverless, single region, no automatic failover, no multi-region writes
module cosmos 'br/public:avm/res/document-db/database-account:0.x.y' = {
 name: 'cosmos-${solutionPrefix}'
 params: {
 name: 'cosmos-${solutionPrefix}'
 locations: [ { locationName: location, failoverPriority: 0 } ]
 capabilities: [ { name: 'EnableServerless' } ]
 automaticFailover: false
 enableMultipleWriteLocations: false
 }
}
```

Recommended Fix: Per P0-013, provision a new `Microsoft.DocumentDB/databaseAccounts` *without* serverless, with both regions in `locations[]`, multi-region writes, automatic failover, and `isZoneRedundant=true`; migrate plan/step containers via change-feed; in `cosmosdb.CosmosDBClient.__init__` pass `preferred_locations=[app_region, peer_region]`; register a Cosmos dependency probe in `HealthCheckMiddleware`.","Per P0-013, provision a new `Microsoft.DocumentDB/databaseAccounts` *without* serverless, with both regions in `locations[]`, multi-region writes, automatic failover, and `isZoneRedundant=true`; migrate plan/step containers via change-feed; in `cosmosdb.CosmosDBClient.__init__` pass `preferred_locations=[app_region, peer_region]`; register a Cosmos dependency probe in `HealthCheckMiddleware`.","resiliency;P0-003"
"P0-004: VNet / NSG / Private DNS / PE single-region","Bug","1","1 - Critical","New","Finding: P0-004: VNet / NSG / Private DNS / PE single-region

Priority: P0

Resiliency Related: Yes

Issue: The VNet, NSGs, Private DNS zones, and Private Endpoints are deployed only in `{primaryRegion}`. There is no network fabric in `{secondaryRegion}` to host PEs for Cosmos, Foundry, Search, or Storage. In an active/active topology this means the secondary region's Container Apps replicas cannot resolve or reach any private dependency, so symmetric failover is structurally impossible.

File: infra/main.bicep:736-754

```bicep
// Single regional network stack — only {primaryRegion} VNet, NSGs, PEs, DNS
module network 'modules/network.bicep' = {
 name: 'net-${location}'
 params: {
 location: location
 addressPrefix: '10.10.0.0/16'
 }
}
// Cosmos PE only in the primary VNet; Private DNS zone linked to one VNet only.
```

Recommended Fix: Refactor the VNet / NSG / PE module to take `location` and instantiate it twice from `main.bicep`; keep Private DNS zones as global resources and add `virtualNetworkLinks` for both regional VNets; provision per-region Private Endpoints for Cosmos, Foundry, Search, and Storage; validate `nslookup` from each region resolves to its local PE IP.","Refactor the VNet / NSG / PE module to take `location` and instantiate it twice from `main.bicep`; keep Private DNS zones as global resources and add `virtualNetworkLinks` for both regional VNets; provision per-region Private Endpoints for Cosmos, Foundry, Search, and Storage; validate `nslookup` from each region resolves to its local PE IP.","resiliency;P0-004"
"P0-005: Single Bicep `location` parameter","Bug","1","1 - Critical","New","Finding: P0-005: Single Bicep `location` parameter

Priority: P0

Resiliency Related: Yes

Issue: `infra/main.bicep` exposes a single `location` parameter consumed by every module. The IaC has no concept of primary + secondary location, so it cannot describe an active/active topology at all. This blocks every other regional symmetry remediation (P0-001, P0-003, P0-004, P0-006, P0-007).

File: infra/main.bicep:60

```bicep
// before — single region parameter, every module receives the same location
param location string = resourceGroup().location
```

Recommended Fix: Add `primaryLocation` (default to RG location) and `secondaryLocation` (no default — force explicit) parameters; convert each regional module into a parameterized module instantiated twice; keep global resources (Private DNS, GLB, geo-replicated ACR, RBAC) at non-regional scope; wire `secondaryLocation` into `main.parameters.json` and `main.waf.parameters.json`.","Add `primaryLocation` (default to RG location) and `secondaryLocation` (no default — force explicit) parameters; convert each regional module into a parameterized module instantiated twice; keep global resources (Private DNS, GLB, geo-replicated ACR, RBAC) at non-regional scope; wire `secondaryLocation` into `main.parameters.json` and `main.waf.parameters.json`.","resiliency;P0-005"
"P0-006: `azureAiServiceLocation` pins single Foundry account","Bug","1","1 - Critical","New","Finding: P0-006: `azureAiServiceLocation` pins single Foundry account

Priority: P0

Resiliency Related: Yes

Issue: The `azureAiServiceLocation` parameter feeds a single Foundry account; all OpenAI deployments inherit that location. During regional failover, OpenAI chat/embedding calls from `{secondaryRegion}` resolve to the dead primary, so plan generation and approval flows fail end-to-end. No model means no agent — the active/active deployment delivers no AI value.

File: infra/main.bicep:937-960

```bicep
// before — single location parameter pins all model deployments to one region
param azureAiServiceLocation string

module openAi 'modules/ai-services-deployments.bicep' = {
 name: 'oai-${azureAiServiceLocation}'
 params: { parentName: aiFoundry.outputs.name, deployments: openAiDeployments, location: azureAiServiceLocation }
}
```

Recommended Fix: Replace `azureAiServiceLocation` with `azureAiServicePrimaryLocation` and `azureAiServiceSecondaryLocation`; pre-validate model + capacity quota in both regions (`az cognitiveservices usage list`); deploy identical model deployments (same name, version, capacity) into both Foundry accounts; route OpenAI calls through `app_config.resolve_foundry_endpoint()` from P0-001.","Replace `azureAiServiceLocation` with `azureAiServicePrimaryLocation` and `azureAiServiceSecondaryLocation`; pre-validate model + capacity quota in both regions (`az cognitiveservices usage list`); deploy identical model deployments (same name, version, capacity) into both Foundry accounts; route OpenAI calls through `app_config.resolve_foundry_endpoint()` from P0-001.","resiliency;P0-006"
"P0-007: `enableRedundancy=false` default","Bug","1","1 - Critical","New","Finding: P0-007: `enableRedundancy=false` default

Priority: P0

Resiliency Related: Yes

Issue: `enableRedundancy` defaults to `false` and is not threaded through every AVM module. With the flag off, a single-zone failure inside either `{primaryRegion}` or `{secondaryRegion}` knocks out App Service Plan, Container Apps Env, Storage, and Cosmos in that region. Active/active only delivers value if each region also survives a zone loss; without zone-redundant defaults, a single zonal incident defeats the GLB's ability to keep the region in rotation.

File: infra/main.bicep:80

```bicep
// before — redundancy off by default; flag never reaches storage / Cosmos / plans
param enableRedundancy bool = false
```

Recommended Fix: Flip the default to `true`; thread `enableRedundancy` into App Service Plan (`zoneRedundant`), Container Apps Env, Storage (`Standard_GZRS`), and Cosmos per-`locations[]`; validate at deploy time that each chosen region has at least 3 availability zones and fail the deployment otherwise.","Flip the default to `true`; thread `enableRedundancy` into App Service Plan (`zoneRedundant`), Container Apps Env, Storage (`Standard_GZRS`), and Cosmos per-`locations[]`; validate at deploy time that each chosen region has at least 3 availability zones and fail the deployment otherwise.","resiliency;P0-007"
"P0-008: Orchestration uses InMemoryCheckpointStorage","Bug","1","1 - Critical","New","Finding: P0-008: Orchestration uses InMemoryCheckpointStorage

Priority: P0

Resiliency Related: Yes

Issue: `OrchestrationConfig` constructs an `InMemoryCheckpointStorage` per process, so plan checkpoints live only in the replica that started them. Under a single-region topology a pod restart already loses in-flight checkpoints; once the deployment is active/active across `{primaryRegion}` and `{secondaryRegion}`, GLB cutover or replica failover deterministically destroys every in-flight checkpoint because the peer replicas have no shared store to read from.

File: src/backend/v4/orchestration/orchestration_config.py:1-50

```python
# before
class OrchestrationConfig:
 def __init__(self) -> None:
 self.checkpoint_storage = InMemoryCheckpointStorage()
```

Recommended Fix: Replace `InMemoryCheckpointStorage` with a Cosmos-backed `CheckpointStorage` keyed by `plan_id`, partitioned on `/plan_id`, with `_etag` optimistic concurrency, and run a startup recovery scan that re-drives `in_progress` plans owned by a dead replica.","Replace `InMemoryCheckpointStorage` with a Cosmos-backed `CheckpointStorage` keyed by `plan_id`, partitioned on `/plan_id`, with `_etag` optimistic concurrency, and run a startup recovery scan that re-drives `in_progress` plans owned by a dead replica.","resiliency;P0-008"
"P0-009: Pre-approval MPlan held in `asyncio.Event`","Bug","1","1 - Critical","New","Finding: P0-009: Pre-approval MPlan held in `asyncio.Event`

Priority: P0

Resiliency Related: Yes

Issue: `HumanApprovalMagenticManager` keeps the pending `MPlan` in a process-local dict and waits on an `asyncio.Event` for approval. In a single-region deployment a pod restart already strands the awaiting coroutine; in active/active across `{primaryRegion}` and `{secondaryRegion}` the GLB routinely routes the approval call to a different replica or region than the one that generated the plan, so the awaiting coroutine never resumes and the user sees 404.

File: src/backend/v4/orchestration/human_approval_manager.py:1-90

```python
# before
class HumanApprovalMagenticManager:
 def __init__(self) -> None:
 self._pending: dict[str, MPlan] = {}
 self._events: dict[str, asyncio.Event] = {}

 async def request_approval(self, plan: MPlan) -> bool:
 self._pending[plan.plan_id] = plan
 ev = self._events.setdefault(plan.plan_id, asyncio.Event())
 await ev.wait() # never resumes on a different replica
 return self._decisions[plan.plan_id]
```

Recommended Fix: Persist the pending plan and its approval state in a Cosmos `approvals` container partitioned by `/plan_id`; replace `event.wait()` with a bounded poll (or change-feed subscription) and apply approvals via `_etag` compare-and-set with an idempotency key.","Persist the pending plan and its approval state in a Cosmos `approvals` container partitioned by `/plan_id`; replace `event.wait()` with a bounded poll (or change-feed subscription) and apply approvals via `_etag` compare-and-set with an idempotency key.","resiliency;P0-009"
"P0-010: WebSocket connection map is in-memory","Bug","1","1 - Critical","New","Finding: P0-010: WebSocket connection map is in-memory

Priority: P0

Resiliency Related: Yes

Issue: `ConnectionConfig` keeps `{user_id: WebSocket}` in a process-local dict. Tokens emitted by the orchestrator running on replica A only reach sockets attached to replica A. In single-region this is hidden by sticky load balancing; under active/active across `{primaryRegion}` and `{secondaryRegion}` the orchestrator and the WebSocket land on different replicas (or different regions) on most requests, so live agent output is silently lost.

File: src/backend/v4/api/connection_config.py:1-60

```python
# before
class ConnectionConfig:
 def __init__(self) -> None:
 self._sockets: dict[str, WebSocket] = {}

 async def emit(self, user_id: str, event: dict) -> None:
 ws = self._sockets.get(user_id) # only finds sockets on this replica
 if ws is not None:
 await ws.send_json(event)
```

Recommended Fix: Introduce a pub/sub backplane (Service Bus topic with geo-DR pair, or Web PubSub) authenticated via Managed Identity. Each replica subscribes per-user (or with a `user_id` correlation filter) and forwards events to its locally connected sockets; never emit directly to the in-memory dict.","Introduce a pub/sub backplane (Service Bus topic with geo-DR pair, or Web PubSub) authenticated via Managed Identity. Each replica subscribes per-user (or with a `user_id` correlation filter) and forwards events to its locally connected sockets; never emit directly to the in-memory dict.","resiliency;P0-010"
